Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,acceptability_threshold,dim_data,drifting_clients,filename,ideal_cluster_num,ideal_cluster_num_deviation,initial_points_per_generator,m,max_iter_global,max_iter_local,mean_max_val,mean_min_val,n_clients,n_generators_per_client,n_repeats,n_time_steps,n_unused_client_generators,next_timestep_new_points_per_generator,num_clusters_used,ratio_drifted_clients,ratio_new_data_distribution,ratio_unused_client_generators,run_mode,tol_global,tol_local,drift_detected_counter,initial_global_db_max,initial_global_db_mean,initial_global_db_median,initial_global_db_min,initial_global_db_std,true_positive_rate
2024-01-11 08:06:17,270ms,ba11f67b883e468da203e11d217e556c,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,9,100,15,0.5,1.0,0.9,global_drift_unused_generators,0.01,0.001,200,42178.54780133758,33269.60669408835,33389.03558629297,26307.887398538565,4334.1308030144355,1
2024-01-11 08:05:31,270ms,7a6c477d40a34579a07e3ee3804ee857,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,9,100,15,0.5,0.9,0.9,global_drift_unused_generators,0.01,0.001,200,42891.28105531176,35266.18726471235,36126.378665814795,25478.502126195945,4002.5631910867164,1
2024-01-11 08:04:42,270ms,3c59847409a5492e8929ea5e9b7e7ac1,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,9,100,15,0.5,0.5,0.9,global_drift_unused_generators,0.01,0.001,139,40996.54199835475,35639.180325535046,36603.13545974024,28527.990820528063,3749.9675996815818,0.695
2024-01-11 08:03:53,281ms,6d0b97dd5b1046fcabefa28c5799d02a,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,9,100,15,0.5,0.1,0.9,global_drift_unused_generators,0.01,0.001,139,44364.2096483983,33493.89986712604,33549.08668064069,22052.919208107956,4992.561818635299,0.695
2024-01-11 08:03:04,285ms,3a3bdad0f88a472bbcc292d9e38cca43,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,5,100,15,0.5,1.0,0.5,global_drift_unused_generators,0.01,0.001,164,41230.56285560157,36267.30284945408,36673.21290443832,31415.529893819647,2377.6038519755534,0.82
2024-01-11 08:02:18,275ms,da30242df40c4d12a8e1b74fd6935b04,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,5,100,15,0.5,0.9,0.5,global_drift_unused_generators,0.01,0.001,151,42255.97201470491,34876.14674727274,35312.00797718977,26864.277405918176,4564.58623822797,0.755
2024-01-11 08:01:29,274ms,046f12d3eaa64b56a26f6c8920b4c9d9,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,5,100,15,0.5,0.5,0.5,global_drift_unused_generators,0.01,0.001,141,40670.42624311645,34349.92927599312,34588.05630521182,26248.19788256016,4327.969208874407,0.705
2024-01-11 08:00:41,267ms,119aa228aa1d41c79378ef43b3520613,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,5,100,15,0.5,0.1,0.5,global_drift_unused_generators,0.01,0.001,3,42610.3709982156,34529.130382831456,35479.98852698626,27490.718113027688,3837.5327354766564,0.015
2024-01-11 07:59:51,274ms,abf158d1bd9246ac8664b350b43049ac,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,1,100,15,0.5,1.0,0.1,global_drift_unused_generators,0.01,0.001,123,41727.27012447401,34991.048475266514,35740.65375978321,28436.450195665988,3927.4735897715136,0.615
2024-01-11 07:59:04,277ms,f8ae4f7b9fd04508a8bbb4026659a4c2,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,1,100,15,0.5,0.9,0.1,global_drift_unused_generators,0.01,0.001,113,42976.54790963489,35850.72560700584,37033.13742088381,26404.170415113997,4158.696471059428,0.565
2024-01-11 07:58:16,263ms,1a3c561c5e474aa28675579f4e08f517,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,1,100,15,0.5,0.5,0.1,global_drift_unused_generators,0.01,0.001,80,43214.828929795156,34771.584485728,35914.519311629796,25065.532512430214,5449.976398038916,0.4
2024-01-11 07:57:28,277ms,00e1b237e9ea4f3a82a1b77cd67521a5,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.5,1000,2,10,50,5,-5,10,1,20,10,1,100,15,0.5,0.1,0.1,global_drift_unused_generators,0.01,0.001,0,44779.94275023135,35176.03334274932,35877.66312100923,27440.919438895926,4721.660453172782,0
2024-01-11 07:56:39,278ms,56a8cf2679614a389a3e21add40b2032,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,9,100,10,0.5,1.0,0.9,global_drift_unused_generators,0.01,0.001,200,0.2057922463100299,0.20228415947988831,0.2025560408061925,0.1961308675975789,0.0023815680844615898,1
2024-01-11 07:56:15,274ms,25e274c0000e45b48f6ca7901076e7b2,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,9,100,10,0.5,0.9,0.9,global_drift_unused_generators,0.01,0.001,106,0.20808872872958273,0.2027525521835345,0.20340154504962338,0.1969302423312786,0.0025954344143477278,0.53
2024-01-11 07:55:48,274ms,fb286cb982e24900ad3b4a11b39b0ba3,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,9,100,10,0.5,0.5,0.9,global_drift_unused_generators,0.01,0.001,200,0.2079323653878166,0.20204433907444663,0.201189925987948,0.1982614717270043,0.002498541369897387,1
2024-01-11 07:55:21,266ms,413e71e2dc9e4e218f1a3ae8e300b8f1,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,9,100,10,0.5,0.1,0.9,global_drift_unused_generators,0.01,0.001,200,0.20739436298328123,0.2017096484809814,0.20110379851054297,0.19766627009033264,0.0023648646962423246,1
2024-01-11 07:54:55,264ms,756249dda2f0465bbea1451536844c86,,LOCAL,/home/morris/UM/phd/code/fed_drift_data_generator/run_data_drift_experiments.py,morris,FINISHED,0.05,100,5,None,10,0.0,1000,2,10,50,5,-5,10,1,20,10,5,100,10,0.5,1.0,0.5,global_drift_unused_generators,0.01,0.001,200,0.20872968576260184,0.20173883170990803,0.20073931367229397,0.19790317011224437,0.002673241441151956,1
